# ID,Target Pressure (bar)
0,0.936978
1,0.900226
2,0.863474
3,0.856223
4,0.819471
5,0.782718
6,0.775467
7,0.738715
8,0.701963
9,0.985605
10,0.948853
11,0.912101
12,0.904850
13,0.868098
14,0.831346
15,0.824094
16,0.787342
17,0.750590
18,1.012507
19,0.975755
20,0.939003
21,0.962551
22,0.881795
23,0.801039
24,0.907679
25,0.870927
26,0.834175
27,0.504453
28,0.395795
29,0.287137
30,0.402812
31,0.294154
32,0.185496
33,0.301171
34,0.192513
35,0.083855
36,0.572285
37,0.463627
38,0.354968
39,0.470644
40,0.361986
41,0.253328
42,0.369003
43,0.260345
44,0.151687
45,0.589584
46,0.480926
47,0.372267
48,0.395815
49,0.294175
50,0.192534
51,0.442986
52,0.334328
53,0.225669
54,0.677202
55,0.568544
56,0.459886
57,0.645179
58,0.536520
59,0.427862
60,0.613155
61,0.504497
62,0.395838
63,0.764239
64,0.655581
65,0.546923
66,0.732216
67,0.623557
68,0.514899
69,0.700192
70,0.591534
71,0.482875
72,0.771936
73,0.663278
74,0.554619
75,0.578167
76,0.546144
77,0.514120
78,0.764572
79,0.655914
80,0.547255
81,0.292546
82,0.223835
83,0.155125
84,0.197867
85,0.129156
86,0.060446
87,0.103188
88,0.034477
89,-0.034233
90,0.365179
91,0.296469
92,0.227758
93,0.270500
94,0.201789
95,0.133079
96,0.175821
97,0.107110
98,0.038400
99,0.380077
100,0.311367
101,0.242657
102,0.266205
103,0.171526
104,0.076846
105,0.247403
106,0.178692
107,0.109982
108,0.644854
109,0.592123
110,0.539392
111,0.584984
112,0.532253
113,0.479521
114,0.525113
115,0.472382
116,0.419651
117,0.693481
118,0.640750
119,0.588019
120,0.633611
121,0.580880
122,0.528148
123,0.573740
124,0.521009
125,0.468278
126,0.720383
127,0.667652
128,0.614920
129,0.638468
130,0.578598
131,0.518727
132,0.657325
133,0.604594
134,0.551863
135,0.515489
136,0.406831
137,0.298173
138,0.448657
139,0.339999
140,0.231341
141,0.381825
142,0.273166
143,0.164508
144,0.592924
145,0.484266
146,0.375607
147,0.526091
148,0.417433
149,0.308775
150,0.459259
151,0.350601
152,0.241943
153,0.605421
154,0.496763
155,0.388105
156,0.411653
157,0.344821
158,0.277988
159,0.528440
160,0.419782
161,0.311124
162,0.587297
163,0.510597
164,0.433897
165,0.513503
166,0.436803
167,0.360103
168,0.439709
169,0.363009
170,0.286309
171,0.688738
172,0.612038
173,0.535338
174,0.614944
175,0.538244
176,0.461544
177,0.541150
178,0.464450
179,0.387750
180,0.689232
181,0.612532
182,0.535832
183,0.559380
184,0.485586
185,0.411792
186,0.598328
187,0.521628
188,0.444928
189,0.359826
190,0.251168
191,0.142510
192,0.327802
193,0.219144
194,0.110486
195,0.295779
196,0.187120
197,0.078462
198,0.432459
199,0.323801
200,0.215143
201,0.400436
202,0.291777
203,0.183119
204,0.368412
205,0.259754
206,0.151095
207,0.447358
208,0.338700
209,0.230041
210,0.253589
211,0.221566
212,0.189542
213,0.439994
214,0.331336
215,0.222677
216,0.410594
217,0.389821
218,0.369048
219,0.315915
220,0.295142
221,0.274369
222,0.221236
