ID,Target Pressure (bar)
0,0.290086
1,0.305087
2,0.369075
3,0.408424
4,0.396473
5,0.40643
6,0.184532
7,0.190415
8,0.22499
9,2.213592
10,1.992012
11,1.763516
12,2.851526
13,2.645047
14,2.341004
15,1.499985
16,1.41384
17,1.380766
18,0.990003
19,0.971888
20,0.958067
21,0.65926
22,0.782103
23,0.47602
24,0.458842
25,0.464066
26,0.465663
27,0.065506
28,0.062442
29,0.0536
30,0.040945
31,0.020325
32,0.007942
33,0.02214
34,0.020338
35,0.018622
36,0.391761
37,0.176148
38,0.098415
39,0.576592
40,0.282443
41,0.165319
42,0.337197
43,0.172448
44,0.121673
45,0.190408
46,0.112858
47,0.080653
48,0.024699
49,0.015083
50,0.022224
51,0.068281
52,0.034871
53,0.02127
54,0.153075
55,0.173503
56,0.169625
57,0.115839
58,0.128681
59,0.130359
60,0.095679
61,0.111997
62,0.117444
63,1.099581
64,0.87664
65,0.753186
66,0.946836
67,0.77512
68,0.658206
69,0.778338
70,0.660215
71,0.574073
72,0.570589
73,0.493254
74,0.42738
75,0.310166
76,0.244264
77,0.234703
78,0.300986
79,0.282026
80,0.236175
81,0.10162
82,0.111507
83,0.106963
84,0.061448
85,0.05771
86,0.051459
87,0.038849
88,0.041561
89,0.041439
90,0.417355
91,0.360396
92,0.328381
93,0.371068
94,0.308747
95,0.274491
96,0.239799
97,0.215571
98,0.192732
99,0.278168
100,0.251069
101,0.216396
102,0.160404
103,0.11516
104,0.081045
105,0.082861
106,0.086343
107,0.078552
108,0.172545
109,0.192076
110,0.194376
111,0.114475
112,0.11767
113,0.121109
114,0.06967
115,0.081798
116,0.094458
117,1.246926
118,0.95011
119,0.792276
120,1.028305
121,0.795357
122,0.684414
123,0.659591
124,0.56077
125,0.504857
126,0.582244
127,0.502524
128,0.43604
129,0.324552
130,0.244719
131,0.183109
132,0.190949
133,0.194206
134,0.180093
135,0.086299
136,0.138927
137,0.12341
138,0.046788
139,0.060658
140,0.046372
141,0.034858
142,0.05514
143,0.055817
144,0.76661
145,0.639768
146,0.463267
147,0.760749
148,0.594664
149,0.417818
150,0.440748
151,0.38538
152,0.288026
153,0.425333
154,0.382858
155,0.3013
156,0.166806
157,0.099313
158,0.098634
159,0.119543
160,0.129308
161,0.097656
162,0.120769
163,0.131741
164,0.103611
165,0.108375
166,0.095697
167,0.064397
168,0.061659
169,0.064333
170,0.053269
171,0.919638
172,0.464964
173,0.329287
174,1.624957
175,0.749169
176,0.472378
177,0.773855
178,0.428878
179,0.302629
180,0.419265
181,0.36828
182,0.274082
183,0.108821
184,0.133246
185,0.102157
186,0.195604
187,0.152411
188,0.103491
189,0.069539
190,0.074963
191,0.065469
192,0.063308
193,0.066952
194,0.061386
195,0.054499
196,0.063926
197,0.060594
198,0.430996
199,0.321341
200,0.220711
201,0.383824
202,0.305893
203,0.228741
204,0.318195
205,0.268093
206,0.206382
207,0.268845
208,0.238036
209,0.161612
210,0.093646
211,0.107781
212,0.101828
213,0.136069
214,0.133271
215,0.102571
216,0.101261
217,0.102096
218,0.10415
219,0.068407
220,0.069905
221,0.073331
222,0.064631
223,0.065839
224,0.069343
225,0.585811
226,0.57051
227,0.567028
228,0.354612
229,0.360867
230,0.360772
231,0.345318
232,0.351283
233,0.35254
234,0.280648
235,0.282
236,0.27824
237,0.23738
238,0.142295
239,0.135756
240,0.124168
241,0.130678
242,0.132801
243,0.569294
244,0.360867
245,0.322883
246,0.577188
247,0.34126
248,0.303962
249,0.504573
250,0.310628
251,0.273582
252,3.628313
253,1.410313
254,1.046893
255,3.801064
256,1.421759
257,1.052398
258,3.526978
259,1.350251
260,1.007565
261,1.526452
262,0.851329
263,0.718928
264,0.418216
265,0.400101
266,0.35722
267,1.02368
268,0.495611
269,0.354617
270,0.068383
271,0.078895
272,0.076596
273,0.043194
274,0.052104
275,0.054302
276,0.033571
277,0.043807
278,0.046979
279,0.5074
280,0.447935
281,0.381744
282,0.31982
283,0.315041
284,0.273868
285,0.265902
286,0.273225
287,0.246749
288,0.289503
289,0.296876
290,0.259757
291,0.160071
292,0.114442
293,0.095777
294,0.079605
295,0.098019
296,0.095244
297,0.148703
298,0.142167
299,0.140951
300,0.128641
301,0.110033
302,0.115904
303,0.118014
304,0.108059
305,0.111154
306,0.734725
307,0.699938
308,0.635951
309,0.696486
310,0.641802
311,0.600494
312,0.58148
313,0.531798
314,0.511233
315,0.413822
316,0.393408
317,0.379405
318,0.263005
319,0.239672
320,0.24035
321,0.274186
322,0.254898
323,0.249976
324,0.118311
325,0.123214
326,0.112291
327,0.10583
328,0.106381
329,0.097142
330,0.097975
331,0.099532
332,0.09262
333,0.793211
334,0.676771
335,0.538168
336,0.719571
337,0.625833
338,0.507533
339,0.675399
340,0.584188
341,0.490546
342,0.392688
343,0.375895
344,0.303364
345,0.229938
346,0.19542
347,0.191838
348,0.26771
349,0.254763
350,0.208684
351,0.208776
352,0.230569
353,0.202837
354,0.235062
355,0.209596
356,0.170825
357,0.109792
358,0.132881
359,0.131143
360,1.542405
361,0.925912
362,0.622069
363,2.198779
364,1.244204
365,0.798501
366,1.182315
367,0.841663
368,0.594285
369,0.656392
370,0.594938
371,0.465657
372,0.240153
373,0.284569
374,0.200017
375,0.261343
376,0.247098
377,0.201566
378,0.138109
379,0.115006
380,0.086142
381,0.09602
382,0.072547
383,0.05181
384,0.08467
385,0.069266
386,0.053663
387,1.637969
388,0.673547
389,0.436268
390,1.261195
391,0.519349
392,0.349537
393,0.890428
394,0.400866
395,0.276364
396,0.687444
397,0.344281
398,0.238947
399,0.141221
400,0.105631
401,0.105423
402,0.290445
403,0.165404
404,0.106177
405,0.135888
406,0.158584
407,0.151971
408,0.087721
409,0.095905
410,0.095064
411,0.069482
412,0.084009
413,0.087105
414,0.711477
415,0.60887
416,0.436219
417,0.621155
418,0.53019
419,0.388594
420,0.43292
421,0.41225
422,0.32271
423,0.43046
424,0.400598
425,0.320767
426,0.208707
427,0.15481
428,0.142621
429,0.176489
430,0.16973
431,0.147971
432,0.091733
433,0.096879
434,0.114427
435,0.065853
436,0.065212
437,0.072421
438,0.050394
439,0.053291
440,0.058969
441,0.421818
442,0.384838
443,0.371528
444,0.388662
445,0.346986
446,0.330654
447,0.282782
448,0.282456
449,0.273189
450,0.247174
451,0.246037
452,0.249374
453,0.209401
454,0.166571
455,0.144225
456,0.137692
457,0.13984
458,0.140224
459,0.04898
460,0.048661
461,0.052156
462,0.039853
463,0.041183
464,0.047154
465,0.035147
466,0.036333
467,0.042423
468,0.236317
469,0.216142
470,0.204109
471,0.18891
472,0.172234
473,0.171248
474,0.170885
475,0.156421
476,0.157446
477,0.178938
478,0.167222
479,0.165264
480,0.116479
481,0.094352
482,0.082053
483,0.075795
484,0.076331
485,0.080096
486,0.147996
487,0.136763
488,0.129876
489,0.091286
490,0.072046
491,0.066658
492,0.073085
493,0.064803
494,0.05984
495,0.779405
496,0.625049
497,0.512351
498,0.672194
499,0.512641
500,0.400375
501,0.513339
502,0.395512
503,0.302571
504,0.465398
505,0.40746
506,0.347619
507,0.256
508,0.160527
509,0.138416
510,0.207789
511,0.169968
512,0.137239
513,0.117201
514,0.119243
515,0.127034
516,0.067564
517,0.062987
518,0.06184
519,0.055583
520,0.05411
521,0.055825
522,0.561563
523,0.453676
524,0.383381
525,0.560948
526,0.450805
527,0.355065
528,0.377932
529,0.306609
530,0.265924
531,0.34154
532,0.300722
533,0.258658
534,0.193895
535,0.14912
536,0.116948
537,0.150647
538,0.128868
539,0.114955
540,0.057519
541,0.06158
542,0.065909
543,0.056888
544,0.061052
545,0.067043
546,0.053923
547,0.058211
548,0.066602
549,0.273353
550,0.270531
551,0.264936
552,0.248013
553,0.247956
554,0.245466
555,0.241627
556,0.241678
557,0.23905
558,0.176736
559,0.176922
560,0.178355
561,0.137239
562,0.120678
563,0.114916
564,0.108623
565,0.111633
566,0.113559
567,0.051572
568,0.050357
569,0.050016
570,0.042156
571,0.035401
572,0.037216
573,0.040382
574,0.036608
575,0.038653
576,0.31599
577,0.232736
578,0.172663
579,0.290843
580,0.204178
581,0.157977
582,0.254506
583,0.17823
584,0.144349
585,0.197353
586,0.14202
587,0.105414
588,0.069559
589,0.064669
590,0.071736
591,0.121033
592,0.084927
593,0.072831
594,0.133613
595,0.146177
596,0.161508
597,0.081253
598,0.082777
599,0.088057
600,0.056782
601,0.060731
602,0.072341
603,0.85004
604,0.690783
605,0.563962
606,0.743901
607,0.598179
608,0.493033
609,0.458898
610,0.420615
611,0.368194
612,0.426142
613,0.410801
614,0.367834
615,0.266482
616,0.192834
617,0.140626
618,0.139807
619,0.14636
620,0.139214
621,0.203769
622,0.242496
623,0.226212
624,0.177356
625,0.176389
626,0.143835
627,0.098187
628,0.113839
629,0.111244
630,1.832839
631,1.263957
632,0.907133
633,2.203056
634,1.433006
635,1.000409
636,1.205256
637,0.962798
638,0.71129
639,0.78118
640,0.673133
641,0.521822
642,0.316728
643,0.283461
644,0.205019
645,0.27113
646,0.258373
647,0.205755
648,0.089345
649,0.118681
650,0.101045
651,0.071726
652,0.085768
653,0.071274
654,0.056546
655,0.070307
656,0.060593
657,0.648636
658,0.537479
659,0.337949
660,0.660287
661,0.533216
662,0.334779
663,0.59121
664,0.489595
665,0.317649
666,0.336461
667,0.317779
668,0.222948
669,0.134861
670,0.120307
671,0.110341
672,0.190718
673,0.178007
674,0.114834
675,0.230021
676,0.195959
677,0.243742
678,0.246413
679,0.223353
680,0.224499
681,0.155837
682,0.154304
