ID,Target Pressure (bar)
0,0.267008
1,0.275601
2,0.276191
3,0.253744
4,0.257388
5,0.257978
6,0.167587
7,0.198317
8,0.220303
9,2.68521
10,2.174654
11,2.019907
12,2.885172
13,2.175838
14,1.984761
15,1.65124
16,1.403268
17,1.206481
18,0.906388
19,0.896902
20,0.880246
21,0.617691
22,0.632858
23,0.487717
24,0.454196
25,0.475381
26,0.475381
27,0.090467
28,0.088513
29,0.089325
30,0.040942
31,0.039813
32,0.039198
33,0.042842
34,0.040481
35,0.042357
36,0.615134
37,0.315586
38,0.271756
39,0.676869
40,0.328749
41,0.269767
42,0.478327
43,0.211109
44,0.212756
45,0.229647
46,0.173027
47,0.158007
48,0.072903
49,0.066044
50,0.058332
51,0.083688
52,0.058786
53,0.064819
54,0.133541
55,0.143622
56,0.140675
57,0.119883
58,0.129748
59,0.129748
60,0.106738
61,0.113646
62,0.113646
63,1.345639
64,1.237021
65,1.237021
66,1.222128
67,1.084566
68,1.101122
69,1.077747
70,0.992552
71,0.944446
72,0.579958
73,0.575937
74,0.547087
75,0.330517
76,0.311382
77,0.306977
78,0.365553
79,0.347334
80,0.339986
81,0.096146
82,0.099807
83,0.10073
84,0.051398
85,0.053326
86,0.055047
87,0.035033
88,0.03485
89,0.037849
90,0.425617
91,0.414511
92,0.385472
93,0.337299
94,0.304662
95,0.252919
96,0.190008
97,0.177115
98,0.143938
99,0.264403
100,0.260013
101,0.242761
102,0.175325
103,0.114863
104,0.071321
105,0.087121
106,0.077618
107,0.071321
108,0.184452
109,0.189692
110,0.191458
111,0.13119
112,0.129658
113,0.131016
114,0.091154
115,0.091276
116,0.08962
117,1.261019
118,1.105599
119,0.752818
120,0.926059
121,0.876354
122,0.704872
123,0.768623
124,0.739293
125,0.542638
126,0.487959
127,0.413092
128,0.362589
129,0.26327
130,0.266485
131,0.202053
132,0.194285
133,0.185939
134,0.202053
135,0.123292
136,0.122791
137,0.124073
138,0.055165
139,0.054051
140,0.054051
141,0.049381
142,0.054736
143,0.056658
144,0.418438
145,0.460839
146,0.40052
147,0.453203
148,0.47959
149,0.413417
150,0.392631
151,0.411217
152,0.345029
153,0.324339
154,0.314201
155,0.300824
156,0.163225
157,0.114209
158,0.101027
159,0.139186
160,0.119173
161,0.102438
162,0.11797
163,0.11698
164,0.115999
165,0.058435
166,0.058435
167,0.058831
168,0.054384
169,0.05272
170,0.060818
171,1.607866
172,0.590484
173,0.42225
174,1.726092
175,0.780962
176,0.400543
177,1.078568
178,0.535196
179,0.354835
180,0.579286
181,0.533637
182,0.428938
183,0.120501
184,0.109253
185,0.099166
186,0.152627
187,0.124074
188,0.101479
189,0.075131
190,0.077313
191,0.076448
192,0.074803
193,0.087415
194,0.090164
195,0.068303
196,0.072235
197,0.081245
198,0.332849
199,0.315225
200,0.275139
201,0.335754
202,0.273162
203,0.238647
204,0.333511
205,0.24051
206,0.197131
207,0.293688
208,0.238046
209,0.220683
210,0.115401
211,0.115401
212,0.119074
213,0.159051
214,0.116311
215,0.122653
216,0.119758
217,0.123121
218,0.120708
219,0.080438
220,0.080174
221,0.076178
222,0.081977
223,0.081712
224,0.077716
225,0.514731
226,0.513289
227,0.510257
228,0.432568
229,0.425844
230,0.419238
231,0.435517
232,0.434104
233,0.427497
234,0.315447
235,0.315447
236,0.304675
237,0.316686
238,0.16012
239,0.156187
240,0.151446
241,0.152895
242,0.152895
243,0.250866
244,0.259558
245,0.259996
246,0.246306
247,0.250368
248,0.250368
249,0.225101
250,0.216334
251,0.216334
252,2.42064
253,0.873382
254,0.730613
255,2.439903
256,0.923671
257,0.730613
258,2.54365
259,0.919707
260,0.738385
261,1.199581
262,0.775274
263,0.74171
264,0.298913
265,0.282557
266,0.27869
267,0.485103
268,0.388618
269,0.282955
270,0.088639
271,0.088639
272,0.088639
273,0.044111
274,0.045338
275,0.047409
276,0.036717
277,0.038261
278,0.041774
279,0.444316
280,0.446624
281,0.420447
282,0.285479
283,0.293266
284,0.282837
285,0.224522
286,0.214777
287,0.215769
288,0.297168
289,0.252147
290,0.254303
291,0.148002
292,0.112471
293,0.087224
294,0.088133
295,0.087431
296,0.087904
297,0.156954
298,0.156954
299,0.161333
300,0.109296
301,0.109296
302,0.109296
303,0.079807
304,0.079807
305,0.08074
306,0.723898
307,0.59188
308,0.562313
309,0.726988
310,0.588389
311,0.558822
312,0.790399
313,0.674875
314,0.645309
315,0.305366
316,0.299252
317,0.279961
318,0.218492
319,0.219795
320,0.240022
321,0.289676
322,0.279004
323,0.241109
324,0.128327
325,0.144964
326,0.148455
327,0.104177
328,0.102728
329,0.102322
330,0.106387
331,0.105417
332,0.106157
333,0.966616
334,0.686665
335,0.459709
336,0.763159
337,0.53195
338,0.392675
339,0.731552
340,0.540315
341,0.392675
342,0.395024
343,0.384395
344,0.379292
345,0.209305
346,0.192736
347,0.185597
348,0.279728
349,0.278384
350,0.196472
351,0.200194
352,0.186751
353,0.182263
354,0.156051
355,0.136668
356,0.136668
357,0.085455
358,0.088725
359,0.087906
360,3.069148
361,1.356927
362,0.543385
363,3.376412
364,1.416133
365,0.484556
366,2.234545
367,0.724688
368,0.491231
369,0.812817
370,0.808089
371,0.76012
372,0.133743
373,0.167727
374,0.114376
375,0.138971
376,0.137927
377,0.113363
378,0.10413
379,0.099286
380,0.1015
381,0.080728
382,0.086794
383,0.087103
384,0.071709
385,0.072248
386,0.071666
387,1.270303
388,0.561611
389,0.433531
390,1.315123
391,0.526743
392,0.428692
393,1.189487
394,0.434315
395,0.371614
396,0.439107
397,0.303928
398,0.284548
399,0.106232
400,0.105166
401,0.100368
402,0.212516
403,0.154327
404,0.100501
405,0.138143
406,0.145988
407,0.145988
408,0.078283
409,0.076295
410,0.079272
411,0.063211
412,0.059836
413,0.06116
414,0.561652
415,0.545761
416,0.486682
417,0.523817
418,0.524556
419,0.460761
420,0.460619
421,0.449519
422,0.362844
423,0.356088
424,0.403647
425,0.374011
426,0.173491
427,0.159757
428,0.126784
429,0.171849
430,0.151522
431,0.128313
432,0.121377
433,0.121377
434,0.124019
435,0.08693
436,0.084408
437,0.084408
438,0.073968
439,0.068728
440,0.075458
441,0.398704
442,0.420322
443,0.422225
444,0.349735
445,0.347146
446,0.346058
447,0.304468
448,0.286154
449,0.290412
450,0.272684
451,0.273707
452,0.286337
453,0.180505
454,0.137174
455,0.14309
456,0.143383
457,0.143383
458,0.135742
459,0.076473
460,0.077044
461,0.077044
462,0.06707
463,0.06707
464,0.06707
465,0.066575
466,0.066575
467,0.066575
468,0.274303
469,0.26308
470,0.233644
471,0.268486
472,0.263254
473,0.217821
474,0.232704
475,0.249231
476,0.214849
477,0.255843
478,0.245027
479,0.233678
480,0.11233
481,0.123195
482,0.122881
483,0.132934
484,0.122573
485,0.129891
486,0.129787
487,0.125076
488,0.125076
489,0.060389
490,0.058288
491,0.056641
492,0.058676
493,0.054995
494,0.059231
495,0.671958
496,0.508574
497,0.509083
498,0.609908
499,0.471924
500,0.448707
501,0.55736
502,0.561015
503,0.463547
504,0.416552
505,0.395658
506,0.337093
507,0.272496
508,0.208689
509,0.171347
510,0.168061
511,0.161355
512,0.161355
513,0.120672
514,0.118695
515,0.119712
516,0.075957
517,0.074709
518,0.074531
519,0.049923
520,0.053119
521,0.053119
522,0.529194
523,0.429939
524,0.372987
525,0.486149
526,0.377411
527,0.356732
528,0.421103
529,0.363589
530,0.306122
531,0.309125
532,0.269165
533,0.24159
534,0.139131
535,0.107727
536,0.096134
537,0.129835
538,0.118587
539,0.103669
540,0.090055
541,0.090829
542,0.092704
543,0.091073
544,0.091847
545,0.093722
546,0.08188
547,0.082654
548,0.087127
549,0.277821
550,0.260888
551,0.269547
552,0.254177
553,0.237244
554,0.242234
555,0.23124
556,0.222763
557,0.227753
558,0.301085
559,0.304261
560,0.284161
561,0.158413
562,0.164076
563,0.151279
564,0.146983
565,0.146316
566,0.146316
567,0.074918
568,0.07376
569,0.069377
570,0.056681
571,0.05733
572,0.055833
573,0.054179
574,0.06339
575,0.060543
576,0.319855
577,0.292241
578,0.255071
579,0.299539
580,0.268153
581,0.227292
582,0.308057
583,0.183581
584,0.162488
585,0.218666
586,0.204681
587,0.195038
588,0.111494
589,0.107402
590,0.095581
591,0.132653
592,0.118568
593,0.095581
